feature,perm_importance,perm_std
query_url_similarity,0.1399784635033084,0.008935775495112642
passage_match_score,0.09966251055700216,0.01564637003536198
readability_score,0.07537233796052821,0.006543013973017092
organic_rank,0.07280214776717006,0.006925270901900002
word_count,0.04742269503946835,0.0034294556139146336
num_lists_tables,0.031016182320308793,0.0025353745722585586
content_freshness_days,0.005594150999920356,0.0010566576086537443
num_entities_matched,0.0022154636543610497,0.0009298854986197263
rank_reciprocal,0.0008861619084813754,0.000256089996614771
structure_score,0.0004325294454904594,0.0003652897367662026
has_faq,0.0001534647933437161,8.485481977694954e-05
content_type,0.0001230266063285468,0.00014674531834908434
is_video,0.0,0.0
is_https,0.0,0.0
is_forum,0.0,0.0
has_schema,-4.17043356522262e-05,6.583321483032741e-05
